City,total_price
HIGH WYCOMBE,79500.0
CHORLEY,57500.0
HARWICH,52000.0
RICKMANSWORTH,62000.0
LYTHAM ST. ANNES,105000.0
FELIXSTOWE,68166.66666666667
WINCHESTER,149995.0
YEOVIL,70750.0
HOLMROOK,65000.0
CHESTER,52000.0
NEWTON-LE-WILLOWS,41000.0
LITTLEHAMPTON,62000.0
SOWERBY BRIDGE,35975.0
SOUTH CROYDON,88500.0
BARKING,55500.0
BARNSLEY,40500.0
SLOUGH,59995.0
WESTON-SUPER-MARE,112500.0
LOUGHBOROUGH,137500.0
WADHURST,90000.0
WELWYN GARDEN CITY,135500.0
BOREHAMWOOD,44500.0
PONTYPRIDD,40500.0
HIGH PEAK,40000.0
HORNCHURCH,73000.0
CROYDON,66000.0
PUDSEY,39500.0
ALTON,59500.0
TAMWORTH,48750.0
GREENFORD,77500.0
LONDON,116829.31818181818
SHREWSBURY,38500.0
PAIGNTON,45000.0
LICHFIELD,60000.0
DARTFORD,125000.0
BARRY,33875.0
BLACKBURN,33000.0
HOLMFIRTH,45000.0
FOLKESTONE,45700.0
DONCASTER,34770.0
ORPINGTON,115000.0
THORNTON-CLEVELEYS,34000.0
BOLTON,29000.0
ENFIELD,104000.0
KEIGHLEY,48000.0
WISBECH,29995.0
BALDOCK,35200.0
NORMANTON,70000.0
EASTBOURNE,58250.0
UXBRIDGE,124500.0
MIDHURST,48000.0
LEICESTER,51687.5
CONISTON,151500.0
BELPER,59995.0
LEAMINGTON SPA,100700.0
BILLINGHAM,48625.0
HALESOWEN,44000.0
MARCH,59000.0
WIMBORNE,66750.0
HENFIELD,92000.0
OAKHAM,65500.0
ST. AUSTELL,31000.0
STRATFORD-UPON-AVON,44000.0
STOKE-ON-TRENT,39750.0
BRIERLEY HILL,64950.0
BILSTON,37000.0
WHITSTABLE,47000.0
TEDDINGTON,169250.0
WITNEY,56000.0
BURY ST. EDMUNDS,69995.0
ERITH,57500.0
BRIDGEND,46500.0
SUDBURY,44000.0
ST. ALBANS,104250.0
MANSFIELD,21166.666666666668
MORDEN,69500.0
WOLVERHAMPTON,57250.0
WEYMOUTH,93750.0
CAERPHILLY,36000.0
HOLYWELL,97000.0
TREDEGAR,45000.0
ASHFORD,51333.333333333336
CHARD,26500.0
BENFLEET,60497.5
LEYLAND,28000.0
POOLE,101750.0
GRIMSBY,56950.0
HITCHIN,95000.0
LLANDUDNO JUNCTION,35000.0
OLDBURY,37000.0
HUDDERSFIELD,38750.0
BRIDGWATER,31500.0
GRANTHAM,30225.0
MANCHESTER,34201.11111111111
HENLEY-ON-THAMES,229950.0
ANDOVER,42000.0
LUTTERWORTH,150000.0
CARTERTON,70000.0
PETERBOROUGH,63000.0
WASHINGTON,29950.0
FALMOUTH,60000.0
BURY,62975.0
MANNINGTREE,64000.0
CONGLETON,34000.0
WIGAN,37000.0
NARBERTH,55000.0
BUDLEIGH SALTERTON,69950.0
GREAT YARMOUTH,80000.0
NOTTINGHAM,48875.0
HINCKLEY,25500.0
SWANSEA,42833.333333333336
BROMLEY,132000.0
LOWESTOFT,48750.0
BIRMINGHAM,48890.0
GRAYS,68750.0
MIDDLESBROUGH,35000.0
EBBW VALE,18000.0
CHIPPING CAMPDEN,145000.0
SPALDING,45000.0
DOVER,147000.0
GLOSSOP,25000.0
BOOTLE,28500.0
LEIGH,31000.0
HULL,47250.0
BUSHEY,92500.0
OXFORD,62000.0
BIDEFORD,41000.0
BEXHILL-ON-SEA,85550.0
NEWBURY,95625.0
NORTH WALSHAM,48950.0
ST. HELENS,55000.0
NORTHAMPTON,62383.333333333336
CHESTER LE STREET,50000.0
PORTSMOUTH,50000.0
CLEVEDON,46000.0
WATERLOOVILLE,49000.0
WALLASEY,81000.0
SMETHWICK,29375.0
SOUTHSEA,49000.0
SALISBURY,81750.0
FERNDALE,10000.0
THETFORD,22500.0
CALDICOT,78500.0
COVENTRY,30250.0
BRISTOL,48499.666666666664
TUNBRIDGE WELLS,160000.0
Y FELINHELI,35000.0
BASINGSTOKE,62500.0
RICHMOND,258500.0
OLDHAM,29783.333333333332
ALDERSHOT,79983.33333333333
BIRKENHEAD,47250.0
BICESTER,90000.0
NEWMARKET,48500.0
BRACKLEY,55500.0
SIDCUP,85000.0
BEDWORTH,23000.0
DUNSTABLE,171500.0
CANNOCK,43000.0
HARLOW,59995.0
LETCHWORTH GARDEN CITY,86000.0
WEST MOLESEY,90500.0
WOODFORD GREEN,86500.0
LIVERPOOL,32933.333333333336
KING'S LYNN,67000.0
CARNFORTH,43000.0
CHESTERFIELD,24612.5
MITCHAM,55950.0
BURGESS HILL,60900.0
MARKFIELD,79950.0
TIVERTON,60000.0
SOUTH OCKENDON,55000.0
WARE,157500.0
SUTTON,60000.0
BRIGHTON,35850.0
HUNTINGDON,20625.0
BRENTWOOD,75000.0
LEIGH-ON-SEA,44250.0
HEMEL HEMPSTEAD,45500.0
BRIDLINGTON,35000.0
MAIDSTONE,80000.0
SHEFFIELD,57900.0
HARROGATE,70000.0
AYLESFORD,48000.0
STOCKPORT,77737.5
SEVENOAKS,88000.0
SOUTHAMPTON,53612.5
WEMBLEY,78000.0
MORECAMBE,36250.0
WORCESTER PARK,86850.0
FARNBOROUGH,71375.0
SUTTON COLDFIELD,59316.666666666664
LOOE,57000.0
HEREFORD,49000.0
HAVERFORDWEST,35000.0
DIDCOT,59999.0
WOODBRIDGE,36000.0
HOVE,23000.0
MORPETH,19000.0
DUDLEY,39950.0
KETTERING,55000.0
DERBY,29995.0
NEWCASTLE,33000.0
ROMNEY MARSH,35000.0
GUISBOROUGH,26900.0
BRADFORD,25166.666666666668
BOGNOR REGIS,68000.0
ST. IVES,57000.0
PLYMOUTH,41950.0
PEACEHAVEN,48000.0
COLWYN BAY,53250.0
CHELTENHAM,86500.0
BEVERLEY,27000.0
COLCHESTER,54000.0
LINCOLN,34500.0
BEDFORD,73715.0
ARUNDEL,216000.0
SWANLEY,57995.0
SWINDON,42166.666666666664
ALTRINCHAM,72125.0
READING,101750.0
ASHTON-UNDER-LYNE,49500.0
BARNET,80000.0
LEEDS,60500.0
SUNDERLAND,64450.0
NEWPORT,42750.0
